"1/K","F(K)","G(K)","X1R(K)","X2R(K)","X1I(K)","X2I(K)"
1.292367,.698731128733159,-.186172397934672,1.36908089242102,1.04961935608167,1.14885815024195,1.14885815024195
1.294041,.698083896027331,-.186082287518904,1.36908046295148,1.04973475729116,1.14888338362373,1.14888338362373
1.295719,.697439785333568,-.185991054351124,1.36908004733114,1.04985061497842,1.14890871458046,1.14890871458046
1.297402,.696798777314727,-.185898716048775,1.36907964571584,1.04996693151498,1.14893414345615,1.14893414345615
1.299089,.69616085276985,-.185805289983477,1.36907925826305,1.05008370928746,1.14895967059616,1.14895967059616
1.30078,.695525992633278,-.18571079328474,1.36907888513187,1.05020095069773,1.1489852963472,1.1489852963472
1.302476,.694894177973752,-.185615242843633,1.36907852648306,1.05031865816297,1.14901102105737,1.14901102105737
1.304177,.694265389993531,-.18551865531637,1.36907818247906,1.05043683411579,1.14903684507613,1.14903684507613
1.305882,.693639610027492,-.185421047127854,1.36907785328399,1.05055548100439,1.14906276875429,1.14906276875429
1.307591,.69301681954225,-.185322434475146,1.36907753906371,1.05067460129263,1.14908879244408,1.14908879244408
1.309305,.692397000135268,-.185222833330887,1.36907723998579,1.05079419746017,1.1491149164991,1.1491149164991
1.311023,.691780133533969,-.185122259446656,1.36907695621954,1.05091427200258,1.14914114127432,1.14914114127432
1.312746,.69116620159486,-.185020728356275,1.36907668793609,1.05103482743146,1.14916746712615,1.14916746712615
1.314473,.690555186302646,-.184918255379055,1.36907643530831,1.05115586627456,1.14919389441239,1.14919389441239
1.316205,.689947069769352,-.184814855622993,1.36907619851092,1.05127739107591,1.14922042349223,1.14922042349223
1.317941,.689341834233449,-.184710543987915,1.36907597772046,1.05139940439594,1.14924705472631,1.14924705472631
1.319682,.688739462058978,-.184605335168558,1.36907577311533,1.05152190881158,1.14927378847666,1.14927378847666
1.321428,.688139935734682,-.184499243657615,1.36907558487579,1.05164490691644,1.14930062510677,1.14930062510677
1.323178,.687543237873135,-.184392283748721,1.36907541318403,1.05176840132085,1.14932756498155,1.14932756498155
1.324933,.686949351209877,-.184284469539389,1.36907525822413,1.05189239465209,1.14935460846735,1.14935460846735
1.326692,.686358258602555,-.184175814933901,1.36907512018213,1.05201688955441,1.14938175593196,1.14938175593196
1.328457,.685769943030058,-.184066333646153,1.36907499924603,1.05214188868927,1.14940900774465,1.14940900774465
